Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","1.58587"
"0.01000","0.00000","1.60678"
"0.02000","0.00002","1.63266"
"0.03000","0.00008","1.64286"
"0.04000","0.00033","1.66219"
"0.05000","0.00094","1.73552"
"0.06000","0.00203","1.86116"
"0.07000","0.00362","2.05024"
"0.08000","0.00561","2.28969"
"0.09000","0.00785","2.54811"
"0.10000","0.01024","2.82014"
"0.11000","0.01266","3.09686"
"0.12000","0.01502","3.36327"
"0.13000","0.01729","3.59719"
"0.14000","0.01941","3.79924"
"0.15000","0.02135","3.96591"
"0.16000","0.02315","4.11792"
"0.17000","0.02485","4.29133"
"0.18000","0.02651","4.45894"
"0.19000","0.02816","4.60482"
"0.20000","0.02979","4.74189"
"0.21000","0.03142","4.88237"
"0.22000","0.03308","5.02535"
"0.23000","0.03480","5.18243"
"0.24000","0.03654","5.32689"
"0.25000","0.03825","5.46966"
"0.26000","0.03992","5.61931"
"0.27000","0.04156","5.76723"
"0.28000","0.04321","5.90593"
"0.29000","0.04487","6.02122"
"0.30000","0.04654","6.15882"
"0.31000","0.04822","6.30677"
"0.32000","0.04991","6.44757"
"0.33000","0.05160","6.59620"
"0.34000","0.05325","6.75754"
"0.35000","0.05486","6.90038"
"0.36000","0.05648","7.04267"
"0.37000","0.05812","7.17550"
"0.38000","0.05979","7.30835"
"0.39000","0.06143","7.43132"
"0.40000","0.06304","7.56291"
"0.41000","0.06465","7.70040"
"0.42000","0.06631","7.84960"
"0.43000","0.06805","7.99481"
"0.44000","0.06982","8.15835"
"0.45000","0.07158","8.31633"
"0.46000","0.07330","8.46230"
"0.47000","0.07497","8.59882"
"0.48000","0.07662","8.73401"
"0.49000","0.07826","8.88248"
"0.50000","0.07991","9.03484"
"0.51000","0.08159","9.18880"
"0.52000","0.08332","9.33089"
"0.53000","0.08504","9.47282"
"0.54000","0.08674","9.61930"
"0.55000","0.08840","9.76146"
"0.56000","0.09006","9.89244"
"0.57000","0.09172","10.01563"
"0.58000","0.09336","10.11926"
"0.59000","0.09496","10.24209"
"0.60000","0.09653","10.36325"
"0.61000","0.09810","10.49962"
"0.62000","0.09972","10.65473"
"0.63000","0.10139","10.79855"
"0.64000","0.10308","10.93946"
"0.65000","0.10478","11.08063"
"0.66000","0.10649","11.23788"
"0.67000","0.10822","11.38015"
"0.68000","0.10996","11.52487"
"0.69000","0.11169","11.67688"
"0.70000","0.11339","11.82273"
"0.71000","0.11504","11.94006"
"0.72000","0.11664","12.05707"
"0.73000","0.11820","12.16161"
"0.74000","0.11973","12.27630"
"0.75000","0.12127","12.38848"
"0.76000","0.12286","12.52196"
"0.77000","0.12452","12.68928"
"0.78000","0.12618","12.84437"
"0.79000","0.12784","13.00744"
"0.80000","0.12950","13.15546"
"0.81000","0.13119","13.29338"
"0.82000","0.13293","13.43890"
"0.83000","0.13466","13.57088"
"0.84000","0.13635","13.69414"
"0.85000","0.13797","13.80202"
"0.86000","0.13957","13.92311"
"0.87000","0.14120","14.05062"
"0.88000","0.14288","14.19440"
"0.89000","0.14461","14.33482"
"0.90000","0.14637","14.47638"
"0.91000","0.14815","14.63111"
"0.92000","0.14990","14.77080"
"0.93000","0.15157","14.88526"
"0.94000","0.15319","15.00631"
"0.95000","0.15480","15.12236"
"0.96000","0.15643","15.24549"
"0.97000","0.15806","15.36772"
"0.98000","0.15968","15.50088"
"0.99000","0.16129","15.63269"
"1.00000","0.16295","15.77015"
"1.01000","0.16469","15.91767"
"1.02000","0.16650","16.05997"
"1.03000","0.16835","16.21080"
"1.04000","0.17017","16.36483"
"1.05000","0.17193","16.50035"
"1.06000","0.17362","16.63005"
"1.07000","0.17525","16.74825"
"1.08000","0.17683","16.87452"
"1.09000","0.17842","17.00107"
"1.10000","0.18004","17.10999"
"1.11000","0.18170","17.22145"
"1.12000","0.18337","17.33490"
"1.13000","0.18503","17.45927"
"1.14000","0.18671","17.59825"
"1.15000","0.18841","17.74218"
"1.16000","0.19011","17.88320"
"1.17000","0.19179","18.00670"
"1.18000","0.19341","18.12620"
"1.19000","0.19500","18.24129"
"1.20000","0.19659","18.34967"
"1.21000","0.19822","18.47170"
"1.22000","0.19986","18.60509"
"1.23000","0.20150","18.75785"
"1.24000","0.20315","18.89405"
"1.25000","0.20483","18.99449"
"1.26000","0.20652","19.10225"
"1.27000","0.20821","19.22867"
"1.28000","0.20988","19.35943"
"1.29000","0.21155","19.50414"
"1.30000","0.21323","19.63691"
"1.31000","0.21490","19.76339"
"1.32000","0.21655","19.89058"
"1.33000","0.21819","20.02984"
"1.34000","0.21987","20.17139"
"1.35000","0.22158","20.31087"
"1.36000","0.22330","20.44457"
"1.37000","0.22497","20.55654"
"1.38000","0.22661","20.67863"
"1.39000","0.22825","20.80602"
"1.40000","0.22991","20.93530"
"1.41000","0.23158","21.06729"
"1.42000","0.23324","21.18645"
"1.43000","0.23487","21.29822"
"1.44000","0.23649","21.40918"
"1.45000","0.23814","21.53072"
"1.46000","0.23982","21.65666"
"1.47000","0.24153","21.79072"
"1.48000","0.24326","21.93649"
"1.49000","0.24499","22.07164"
"1.50000","0.24670","22.19379"
"1.51000","0.24838","22.32980"
"1.52000","0.25001","22.45505"
"1.53000","0.25165","22.57949"
"1.54000","0.25331","22.71404"
"1.55000","0.25501","22.86519"
"1.56000","0.25669","23.01410"
"1.57000","0.25833","23.13964"
"1.58000","0.25995","23.25899"
"1.59000","0.26158","23.37475"
"1.60000","0.26323","23.50588"
"1.61000","0.26489","23.65069"
"1.62000","0.26654","23.77976"
"1.63000","0.26816","23.88030"
"1.64000","0.26978","23.98347"
"1.65000","0.27141","24.09680"
"1.66000","0.27308","24.22640"
"1.67000","0.27478","24.37075"
"1.68000","0.27652","24.50628"
"1.69000","0.27830","24.64822"
"1.70000","0.28007","24.79480"
"1.71000","0.28181","24.93039"
"1.72000","0.28350","25.05118"
"1.73000","0.28516","25.16239"
"1.74000","0.28680","25.28407"
"1.75000","0.28840","25.40573"
"1.76000","0.28996","25.51846"
"1.77000","0.29149","25.63610"
"1.78000","0.29305","25.76064"
"1.79000","0.29466","25.87666"
"1.80000","0.29633","25.99481"
"1.81000","0.29802","26.11503"
"1.82000","0.29970","26.23355"
"1.83000","0.30136","26.36728"
"1.84000","0.30302","26.51125"
"1.85000","0.30467","26.66049"
"1.86000","0.30631","26.79194"
"1.87000","0.30794","26.91741"
"1.88000","0.30960","27.05551"
"1.89000","0.31128","27.18354"
"1.90000","0.31298","27.31119"
"1.91000","0.31467","27.44882"
"1.92000","0.31636","27.58102"
"1.93000","0.31808","27.71694"
"1.94000","0.31982","27.85514"
"1.95000","0.32153","27.97714"
"1.96000","0.32319","28.08810"
"1.97000","0.32482","28.20826"
"1.98000","0.32645","28.34129"
"1.99000","0.32811","28.46910"
"2.00000","0.32978","28.59118"
"2.01000","0.33144","28.70357"
"2.02000","0.33309","28.83822"
"2.03000","0.33477","28.98597"
"2.04000","0.33649","29.13022"
"2.05000","0.33825","29.25681"
"2.06000","0.34004","29.39554"
"2.07000","0.34184","29.54191"
"2.08000","0.34361","29.69614"
"2.09000","0.34531","29.83836"
"2.10000","0.34692","29.95079"
"2.11000","0.34848","30.04270"
"2.12000","0.35005","30.14144"
"2.13000","0.35168","30.26390"
"2.14000","0.35337","30.38864"
"2.15000","0.35506","30.51212"
"2.16000","0.35674","30.63642"
"2.17000","0.35842","30.78161"
"2.18000","0.36011","30.95653"
"2.19000","0.36180","31.09185"
"2.20000","0.36346","31.21178"
"2.21000","0.36505","31.34141"
"2.22000","0.36662","31.45250"
"2.23000","0.36819","31.56919"
"2.24000","0.36978","31.68391"
"2.25000","0.37142","31.81841"
"2.26000","0.37311","31.95067"
"2.27000","0.37485","32.07520"
"2.28000","0.37661","32.21528"
"2.29000","0.37835","32.35949"
"2.30000","0.38003","32.49527"
"2.31000","0.38167","32.61193"
"2.32000","0.38331","32.72219"
"2.33000","0.38496","32.84444"
"2.34000","0.38660","32.97339"
"2.35000","0.38822","33.10559"
"2.36000","0.38983","33.22001"
"2.37000","0.39147","33.36454"
"2.38000","0.39314","33.50468"
"2.39000","0.39482","33.62944"
"2.40000","0.39647","33.75435"
"2.41000","0.39809","33.87439"
"2.42000","0.39971","33.98989"
"2.43000","0.40135","34.13302"
"2.44000","0.40303","34.28317"
"2.45000","0.40474","34.41938"
"2.46000","0.40650","34.55799"
"2.47000","0.40830","34.69055"
"2.48000","0.41010","34.82431"
"2.49000","0.41187","34.94009"
"2.50000","0.41358","35.04441"
"2.51000","0.41526","35.16363"
"2.52000","0.41692","35.29876"
"2.53000","0.41855","35.44509"
"2.54000","0.42014","35.57638"
"2.55000","0.42171","35.68112"
"2.56000","0.42331","35.78933"
"2.57000","0.42497","35.92078"
"2.58000","0.42666","36.05641"
"2.59000","0.42835","36.16763"
"2.60000","0.43000","36.27127"
"2.61000","0.43162","36.37169"
"2.62000","0.43323","36.48554"
"2.63000","0.43485","36.61902"
"2.64000","0.43646","36.75021"
"2.65000","0.43810","36.88810"
"2.66000","0.43976","37.02977"
"2.67000","0.44144","37.15945"
"2.68000","0.44314","37.27641"
"2.69000","0.44482","37.39206"
"2.70000","0.44652","37.53652"
"2.71000","0.44825","37.68222"
"2.72000","0.45002","37.82364"
"2.73000","0.45177","37.96276"
"2.74000","0.45348","38.11464"
"2.75000","0.45513","38.24490"
"2.76000","0.45676","38.36033"
"2.77000","0.45837","38.46930"
"2.78000","0.45996","38.57318"
"2.79000","0.46153","38.69246"
"2.80000","0.46308","38.80651"
"2.81000","0.46466","38.90513"
"2.82000","0.46627","39.02212"
"2.83000","0.46793","39.15003"
"2.84000","0.46963","39.27990"
"2.85000","0.47136","39.41880"
