Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","2.75764"
"0.01000","0.00000","2.75654"
"0.02000","0.00002","2.74723"
"0.03000","0.00012","2.75016"
"0.04000","0.00036","2.77339"
"0.05000","0.00078","2.80364"
"0.06000","0.00147","2.86834"
"0.07000","0.00254","2.97912"
"0.08000","0.00402","3.16881"
"0.09000","0.00592","3.41996"
"0.10000","0.00818","3.70006"
"0.11000","0.01065","3.99097"
"0.12000","0.01315","4.28833"
"0.13000","0.01559","4.56891"
"0.14000","0.01794","4.81782"
"0.15000","0.02015","5.04730"
"0.16000","0.02224","5.25688"
"0.17000","0.02424","5.45031"
"0.18000","0.02617","5.61800"
"0.19000","0.02806","5.77575"
"0.20000","0.02988","5.93422"
"0.21000","0.03163","6.08260"
"0.22000","0.03332","6.20210"
"0.23000","0.03494","6.32334"
"0.24000","0.03651","6.45586"
"0.25000","0.03806","6.58627"
"0.26000","0.03965","6.72497"
"0.27000","0.04129","6.87097"
"0.28000","0.04297","7.00406"
"0.29000","0.04464","7.14003"
"0.30000","0.04629","7.26802"
"0.31000","0.04795","7.40156"
"0.32000","0.04964","7.52117"
"0.33000","0.05134","7.63870"
"0.34000","0.05302","7.76375"
"0.35000","0.05463","7.88904"
"0.36000","0.05621","8.00737"
"0.37000","0.05781","8.12665"
"0.38000","0.05946","8.25076"
"0.39000","0.06117","8.37757"
"0.40000","0.06294","8.50268"
"0.41000","0.06476","8.64624"
"0.42000","0.06657","8.80887"
"0.43000","0.06831","8.94507"
"0.44000","0.06998","9.07012"
"0.45000","0.07158","9.18138"
"0.46000","0.07318","9.29513"
"0.47000","0.07479","9.41400"
"0.48000","0.07640","9.52508"
"0.49000","0.07799","9.61254"
"0.50000","0.07960","9.73593"
"0.51000","0.08127","9.88824"
"0.52000","0.08305","10.04209"
"0.53000","0.08488","10.19433"
"0.54000","0.08673","10.34432"
"0.55000","0.08852","10.46914"
"0.56000","0.09023","10.57079"
"0.57000","0.09188","10.65979"
"0.58000","0.09346","10.75572"
"0.59000","0.09502","10.86593"
"0.60000","0.09660","10.98516"
"0.61000","0.09823","11.12299"
"0.62000","0.09990","11.25954"
"0.63000","0.10158","11.38360"
"0.64000","0.10325","11.50698"
"0.65000","0.10494","11.63991"
"0.66000","0.10666","11.77695"
"0.67000","0.10838","11.89871"
"0.68000","0.11005","11.99999"
"0.69000","0.11167","12.10408"
"0.70000","0.11326","12.21130"
"0.71000","0.11486","12.32197"
"0.72000","0.11649","12.44536"
"0.73000","0.11813","12.55760"
"0.74000","0.11977","12.67868"
"0.75000","0.12143","12.80577"
"0.76000","0.12311","12.93202"
"0.77000","0.12481","13.05366"
"0.78000","0.12649","13.17971"
"0.79000","0.12815","13.29511"
"0.80000","0.12982","13.40398"
"0.81000","0.13150","13.51583"
"0.82000","0.13316","13.62365"
"0.83000","0.13480","13.73277"
"0.84000","0.13645","13.84540"
"0.85000","0.13814","13.97217"
"0.86000","0.13986","14.10433"
"0.87000","0.14156","14.23811"
"0.88000","0.14323","14.37206"
"0.89000","0.14486","14.48651"
"0.90000","0.14652","14.59881"
"0.91000","0.14820","14.72053"
"0.92000","0.14989","14.83744"
"0.93000","0.15155","14.92982"
"0.94000","0.15320","15.02802"
"0.95000","0.15484","15.14254"
"0.96000","0.15651","15.26187"
"0.97000","0.15820","15.38760"
"0.98000","0.15991","15.52293"
"0.99000","0.16163","15.66504"
"1.00000","0.16335","15.79331"
"1.01000","0.16505","15.93034"
"1.02000","0.16670","16.05868"
"1.03000","0.16833","16.16583"
"1.04000","0.16998","16.25354"
"1.05000","0.17167","16.35939"
"1.06000","0.17337","16.48470"
"1.07000","0.17503","16.61318"
"1.08000","0.17665","16.73835"
"1.09000","0.17827","16.83760"
"1.10000","0.17990","16.94177"
"1.11000","0.18155","17.04656"
"1.12000","0.18319","17.16025"
"1.13000","0.18482","17.25496"
"1.14000","0.18643","17.35952"
"1.15000","0.18806","17.48182"
"1.16000","0.18972","17.60766"
"1.17000","0.19140","17.72891"
"1.18000","0.19312","17.86026"
"1.19000","0.19488","17.99334"
"1.20000","0.19665","18.12489"
"1.21000","0.19841","18.26746"
"1.22000","0.20014","18.39227"
"1.23000","0.20182","18.50705"
"1.24000","0.20347","18.62013"
"1.25000","0.20511","18.72030"
"1.26000","0.20670","18.81595"
"1.27000","0.20824","18.91006"
"1.28000","0.20978","19.02430"
"1.29000","0.21136","19.14154"
"1.30000","0.21300","19.26022"
"1.31000","0.21469","19.37363"
"1.32000","0.21639","19.47587"
"1.33000","0.21807","19.58662"
"1.34000","0.21974","19.70275"
"1.35000","0.22140","19.80423"
"1.36000","0.22303","19.91734"
"1.37000","0.22465","20.03640"
"1.38000","0.22627","20.17395"
"1.39000","0.22793","20.29702"
"1.40000","0.22962","20.41806"
"1.41000","0.23132","20.53530"
"1.42000","0.23302","20.65571"
"1.43000","0.23474","20.79533"
"1.44000","0.23649","20.95300"
"1.45000","0.23823","21.08442"
"1.46000","0.23991","21.19778"
"1.47000","0.24154","21.30848"
"1.48000","0.24314","21.40816"
"1.49000","0.24477","21.50546"
"1.50000","0.24642","21.60522"
"1.51000","0.24809","21.70897"
"1.52000","0.24974","21.82523"
"1.53000","0.25141","21.94961"
"1.54000","0.25311","22.07635"
"1.55000","0.25485","22.21248"
"1.56000","0.25663","22.34685"
"1.57000","0.25842","22.48239"
"1.58000","0.26021","22.59917"
"1.59000","0.26195","22.72414"
"1.60000","0.26361","22.84600"
"1.61000","0.26520","22.95963"
"1.62000","0.26676","23.06518"
"1.63000","0.26836","23.18253"
"1.64000","0.27002","23.29978"
"1.65000","0.27171","23.41723"
"1.66000","0.27339","23.52454"
"1.67000","0.27506","23.63632"
"1.68000","0.27675","23.74744"
"1.69000","0.27845","23.86279"
"1.70000","0.28014","23.98635"
"1.71000","0.28177","24.09917"
"1.72000","0.28336","24.20287"
"1.73000","0.28492","24.29985"
"1.74000","0.28649","24.40246"
"1.75000","0.28810","24.50480"
"1.76000","0.28974","24.61087"
"1.77000","0.29144","24.73894"
"1.78000","0.29319","24.88261"
"1.79000","0.29496","25.02168"
"1.80000","0.29668","25.15755"
"1.81000","0.29835","25.29071"
"1.82000","0.30000","25.41510"
"1.83000","0.30165","25.52878"
"1.84000","0.30330","25.62458"
"1.85000","0.30492","25.71687"
"1.86000","0.30652","25.82014"
"1.87000","0.30813","25.95069"
"1.88000","0.30978","26.08582"
"1.89000","0.31146","26.23803"
"1.90000","0.31314","26.38510"
"1.91000","0.31478","26.50053"
"1.92000","0.31641","26.59953"
"1.93000","0.31804","26.69625"
"1.94000","0.31970","26.80179"
"1.95000","0.32138","26.92347"
"1.96000","0.32309","27.05195"
"1.97000","0.32485","27.18503"
"1.98000","0.32665","27.31416"
"1.99000","0.32843","27.45062"
"2.00000","0.33016","27.57844"
"2.01000","0.33185","27.70242"
"2.02000","0.33352","27.82098"
"2.03000","0.33518","27.93084"
"2.04000","0.33682","28.03216"
"2.05000","0.33842","28.15059"
"2.06000","0.34002","28.27710"
"2.07000","0.34167","28.40086"
"2.08000","0.34337","28.53360"
"2.09000","0.34509","28.64798"
"2.10000","0.34677","28.75465"
"2.11000","0.34840","28.86547"
"2.12000","0.35000","28.98890"
"2.13000","0.35159","29.12141"
"2.14000","0.35318","29.24936"
"2.15000","0.35478","29.35595"
"2.16000","0.35640","29.45326"
"2.17000","0.35807","29.56404"
"2.18000","0.35976","29.68977"
"2.19000","0.36145","29.83016"
"2.20000","0.36313","29.95361"
"2.21000","0.36484","30.07974"
"2.22000","0.36659","30.21736"
"2.23000","0.36836","30.36735"
"2.24000","0.37010","30.50300"
"2.25000","0.37178","30.60901"
"2.26000","0.37342","30.71483"
"2.27000","0.37505","30.81991"
"2.28000","0.37667","30.92977"
"2.29000","0.37826","31.06561"
"2.30000","0.37983","31.18455"
"2.31000","0.38139","31.29533"
"2.32000","0.38298","31.41368"
"2.33000","0.38462","31.55053"
"2.34000","0.38629","31.68260"
"2.35000","0.38799","31.81561"
"2.36000","0.38973","31.93582"
"2.37000","0.39148","32.04142"
"2.38000","0.39319","32.14431"
"2.39000","0.39485","32.25296"
"2.40000","0.39648","32.35763"
"2.41000","0.39811","32.45816"
"2.42000","0.39978","32.57793"
"2.43000","0.40148","32.70601"
"2.44000","0.40317","32.83293"
"2.45000","0.40485","32.96453"
"2.46000","0.40654","33.09645"
"2.47000","0.40824","33.21914"
"2.48000","0.40992","33.34845"
"2.49000","0.41154","33.47169"
"2.50000","0.41312","33.58456"
"2.51000","0.41469","33.69262"
"2.52000","0.41628","33.79717"
"2.53000","0.41790","33.90797"
"2.54000","0.41957","34.01476"
"2.55000","0.42129","34.13666"
"2.56000","0.42309","34.27377"
"2.57000","0.42493","34.41049"
"2.58000","0.42678","34.54430"
"2.59000","0.42858","34.66839"
"2.60000","0.43034","34.77872"
"2.61000","0.43204","34.89008"
"2.62000","0.43369","35.02280"
"2.63000","0.43527","35.13275"
"2.64000","0.43681","35.23777"
"2.65000","0.43837","35.33481"
"2.66000","0.43999","35.43438"
"2.67000","0.44168","35.55198"
"2.68000","0.44340","35.67828"
"2.69000","0.44509","35.81136"
"2.70000","0.44677","35.95572"
"2.71000","0.44844","36.09812"
"2.72000","0.45010","36.21922"
"2.73000","0.45175","36.35042"
"2.74000","0.45339","36.47083"
"2.75000","0.45502","36.59038"
"2.76000","0.45666","36.70424"
"2.77000","0.45831","36.82534"
"2.78000","0.45995","36.94517"
"2.79000","0.46162","37.07870"
"2.80000","0.46333","37.19505"
"2.81000","0.46506","37.32695"
"2.82000","0.46676","37.45284"
"2.83000","0.46838","37.58562"
"2.84000","0.46994","37.70985"
"2.85000","0.47151","37.82615"
