Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"1.85000","0.30498","26.45664"
"1.86000","0.30669","26.59610"
"1.87000","0.30837","26.75099"
"1.88000","0.31001","26.89003"
"1.89000","0.31163","27.01875"
"1.90000","0.31326","27.12808"
"1.91000","0.31492","27.24224"
"1.92000","0.31658","27.38084"
"1.93000","0.31822","27.51191"
"1.94000","0.31983","27.64173"
"1.95000","0.32144","27.78471"
"1.96000","0.32307","27.94018"
"1.97000","0.32472","28.09380"
"1.98000","0.32641","28.24268"
"1.99000","0.32816","28.38066"
"2.00000","0.32994","28.53359"
"2.01000","0.33173","28.68735"
"2.02000","0.33349","28.82601"
"2.03000","0.33519","28.95873"
"2.04000","0.33686","29.10808"
"2.05000","0.33851","29.26177"
"2.06000","0.34011","29.40257"
"2.07000","0.34165","29.52296"
"2.08000","0.34317","29.64624"
"2.09000","0.34472","29.77186"
"2.10000","0.34634","29.88389"
"2.11000","0.34801","30.00811"
"2.12000","0.34970","30.14734"
"2.13000","0.35138","30.28434"
"2.14000","0.35304","30.43360"
"2.15000","0.35470","30.56688"
"2.16000","0.35635","30.71052"
"2.17000","0.35798","30.85250"
"2.18000","0.35960","30.99757"
"2.19000","0.36125","31.13108"
"2.20000","0.36294","31.24333"
"2.21000","0.36463","31.38990"
"2.22000","0.36632","31.54967"
"2.23000","0.36802","31.67466"
"2.24000","0.36975","31.81960"
"2.25000","0.37149","31.97354"
"2.26000","0.37320","32.11339"
"2.27000","0.37484","32.24499"
"2.28000","0.37646","32.34963"
"2.29000","0.37809","32.49423"
"2.30000","0.37975","32.64978"
"2.31000","0.38142","32.80278"
"2.32000","0.38309","32.93619"
"2.33000","0.38476","33.07729"
"2.34000","0.38646","33.20753"
"2.35000","0.38819","33.31007"
"2.36000","0.38995","33.45610"
"2.37000","0.39174","33.62945"
"2.38000","0.39353","33.77841"
"2.39000","0.39529","33.91358"
"2.40000","0.39698","34.04596"
"2.41000","0.39859","34.18389"
"2.42000","0.40016","34.31314"
"2.43000","0.40175","34.46425"
"2.44000","0.40340","34.60775"
"2.45000","0.40508","34.73757"
"2.46000","0.40675","34.84299"
"2.47000","0.40840","34.95764"
"2.48000","0.41006","35.06494"
"2.49000","0.41174","35.18267"
"2.50000","0.41342","35.32019"
"2.51000","0.41506","35.46029"
"2.52000","0.41666","35.61248"
"2.53000","0.41823","35.78826"
"2.54000","0.41982","35.95890"
"2.55000","0.42143","36.10814"
"2.56000","0.42308","36.26145"
"2.57000","0.42478","36.41087"
"2.58000","0.42653","36.54312"
"2.59000","0.42830","36.65159"
"2.60000","0.43003","36.74601"
"2.61000","0.43171","36.85708"
"2.62000","0.43336","36.98304"
"2.63000","0.43501","37.11907"
"2.64000","0.43665","37.26918"
"2.65000","0.43829","37.40780"
"2.66000","0.43989","37.54041"
"2.67000","0.44151","37.68782"
"2.68000","0.44316","37.84589"
"2.69000","0.44484","37.99519"
"2.70000","0.44652","38.12810"
"2.71000","0.44815","38.26030"
"2.72000","0.44976","38.39491"
"2.73000","0.45137","38.51719"
"2.74000","0.45301","38.64202"
"2.75000","0.45468","38.78794"
"2.76000","0.45639","38.92009"
"2.77000","0.45816","39.07195"
"2.78000","0.45996","39.22779"
"2.79000","0.46176","39.38672"
"2.80000","0.46353","39.54033"
"2.81000","0.46524","39.70110"
"2.82000","0.46693","39.84970"
"2.83000","0.46859","39.97541"
"2.84000","0.47022","40.07869"
"2.85000","0.47180","40.17373"
"2.86000","0.47336","40.27774"
"2.87000","0.47496","40.39984"
"2.88000","0.47663","40.52424"
"2.89000","0.47834","40.66080"
"2.90000","0.48003","40.81359"
"2.91000","0.48167","40.96118"
"2.92000","0.48329","41.11640"
"2.93000","0.48490","41.28376"
"2.94000","0.48651","41.44272"
"2.95000","0.48811","41.57955"
"2.96000","0.48974","41.69151"
"2.97000","0.49140","41.80104"
"2.98000","0.49309","41.92924"
"2.99000","0.49479","42.04982"
"3.00000","0.49648","42.17102"
"3.01000","0.49819","42.29832"
"3.02000","0.49995","42.43444"
"3.03000","0.50172","42.57455"
"3.04000","0.50347","42.73491"
"3.05000","0.50516","42.87931"
"3.06000","0.50680","43.02831"
"3.07000","0.50842","43.18865"
"3.08000","0.51004","43.33703"
"3.09000","0.51163","43.45827"
"3.10000","0.51320","43.57318"
"3.11000","0.51476","43.68959"
"3.12000","0.51634","43.80012"
"3.13000","0.51797","43.93286"
"3.14000","0.51963","44.07396"
"3.15000","0.52131","44.21569"
"3.16000","0.52303","44.35546"
"3.17000","0.52477","44.49363"
"3.18000","0.52650","44.63630"
"3.19000","0.52818","44.76358"
"3.20000","0.52981","44.89612"
"3.21000","0.53144","45.02640"
"3.22000","0.53310","45.13932"
"3.23000","0.53479","45.28356"
"3.24000","0.53647","45.42487"
"3.25000","0.53814","45.56958"
"3.26000","0.53982","45.70854"
"3.27000","0.54152","45.85697"
"3.28000","0.54322","46.00221"
"3.29000","0.54487","46.15046"
"3.30000","0.54648","46.29198"
"3.31000","0.54807","46.42245"
"3.32000","0.54966","46.54013"
"3.33000","0.55128","46.67332"
"3.34000","0.55293","46.81597"
"3.35000","0.55462","46.96399"
"3.36000","0.55639","47.11094"
"3.37000","0.55822","47.26041"
"3.38000","0.56007","47.40024"
"3.39000","0.56189","47.54435"
"3.40000","0.56367","47.70249"
"3.41000","0.56540","47.84536"
"3.42000","0.56708","47.97089"
"3.43000","0.56867","48.08608"
"3.44000","0.57021","48.19885"
"3.45000","0.57174","48.32006"
"3.46000","0.57334","48.45136"
"3.47000","0.57501","48.58057"
"3.48000","0.57672","48.70776"
"3.49000","0.57841","48.85205"
"3.50000","0.58010","48.98022"
"3.51000","0.58177","49.11051"
"3.52000","0.58345","49.24185"
"3.53000","0.58511","49.37051"
"3.54000","0.58674","49.50842"
"3.55000","0.58836","49.64089"
"3.56000","0.59000","49.78243"
"3.57000","0.59163","49.93394"
"3.58000","0.59326","50.06993"
"3.59000","0.59491","50.19728"
"3.60000","0.59658","50.33655"
"3.61000","0.59830","50.48803"
"3.62000","0.60000","50.62140"
"3.63000","0.60164","50.74010"
"3.64000","0.60323","50.84231"
"3.65000","0.60481","50.95507"
"3.66000","0.60645","51.08562"
"3.67000","0.60815","51.23942"
"3.68000","0.60986","51.40058"
"3.69000","0.61156","51.56567"
"3.70000","0.61324","51.71061"
"3.71000","0.61492","51.84857"
"3.72000","0.61659","51.99910"
"3.73000","0.61825","52.13000"
"3.74000","0.61992","52.25365"
"3.75000","0.62159","52.37738"
"3.76000","0.62326","52.50770"
"3.77000","0.62492","52.64649"
"3.78000","0.62656","52.76540"
"3.79000","0.62822","52.88989"
"3.80000","0.62992","53.04149"
"3.81000","0.63166","53.20890"
"3.82000","0.63340","53.37178"
"3.83000","0.63508","53.52036"
"3.84000","0.63673","53.66000"
"3.85000","0.63837","53.77948"
"3.86000","0.64003","53.90663"
"3.87000","0.64169","54.03687"
"3.88000","0.64333","54.16881"
"3.89000","0.64498","54.29832"
"3.90000","0.64665","54.44151"
"3.91000","0.64835","54.58065"
"3.92000","0.65006","54.72503"
"3.93000","0.65177","54.86110"
"3.94000","0.65349","54.99477"
"3.95000","0.65519","55.13967"
"3.96000","0.65685","55.26229"
"3.97000","0.65845","55.38930"
"3.98000","0.66000","55.50803"
